"Incident ID","Incident Date",State,"City Or County",Address,"Victims Killed","Victims Injured","Suspects Killed","Suspects Injured","Suspects Arrested",Operations
3370301,"December 6, 2025",Pennsylvania,Philadelphia,"1541 N Alden St",0,1,0,0,2,N/A
3370292,"December 6, 2025",Pennsylvania,"New Kensington","932 3rd Ave",1,0,0,0,0,N/A
3370281,"December 6, 2025",Pennsylvania,Philadelphia,"5800 block of Pentridge St",0,1,0,0,0,N/A
3370278,"December 6, 2025",Pennsylvania,Philadelphia,"5400 block of Locust St",1,1,0,0,0,N/A
3370276,"December 6, 2025",Ohio,Youngstown,"100 block of E Philadelphia Ave",0,1,0,0,0,N/A
3370271,"December 6, 2025",Ohio,Dayton,"Mary Ave",0,1,0,0,0,N/A
3370269,"December 6, 2025",Ohio,Dayton,"1200 block of Windsor Ave",0,1,0,0,0,N/A
3369832,"December 5, 2025",Tennessee,Memphis,"1359 Poplar Ave",0,1,0,0,0,N/A
3369802,"December 5, 2025",Georgia,Atlanta,"25 Peyton Pl SW",0,0,0,1,0,N/A
3369728,"December 5, 2025",Tennessee,Munford,"43 Woodlawn Cove",0,1,0,0,1,N/A
3369906,"December 5, 2025","New York",Brooklyn,"Sutter Ave and Rockaway Ave",0,2,0,0,0,N/A
3370249,"December 5, 2025","New York","New York (Manhattan)","Chambers St and Centre St",0,1,0,0,0,N/A
3369783,"December 5, 2025",Ohio,Columbus,"200 block of S Wheatland Ave",0,1,0,0,0,N/A
3370238,"December 5, 2025",Illinois,Carpentersville,"Wren Rd and Robin Rd",0,1,0,0,0,N/A
3369724,"December 5, 2025",Tennessee,Knoxville,"Worth St and W Emerald Ave",0,1,0,0,2,N/A
3370206,"December 5, 2025",Virginia,Martinsville,"8884 AL Philpott Hwy",0,0,1,0,0,N/A
3369719,"December 5, 2025",Tennessee,Nashville,"1 Music Square W",0,1,0,0,0,N/A
3369394,"December 5, 2025",Maryland,Rockville,"11211 Old Georgetown Rd",0,0,0,0,1,N/A
3369708,"December 5, 2025",Illinois,Troy,"536 Edwardsville Rd",0,1,1,0,0,N/A
3370178,"December 5, 2025",Ohio,Cincinnati,"70 block of Ferndale Ave",1,0,0,0,0,N/A
3369583,"December 5, 2025",Mississippi,Clarksdale,"1300 block of Anderson Blvd",1,0,0,0,0,N/A
3369643,"December 5, 2025",Ohio,"Cincinnati (Silverton)","6700 block of Stoll Ln",0,1,0,0,1,N/A
3370167,"December 5, 2025",Illinois,Decatur,"3415 E Lost Bridge Rd",1,0,0,0,1,N/A
3370164,"December 5, 2025",Maryland,Burtonsville,"14900 block of Saddle Creek Dr",0,1,0,0,0,N/A
3369585,"December 5, 2025",Mississippi,Jackson,"2800 block of Donaldson Dr",1,0,0,0,0,N/A
3370156,"December 5, 2025",Georgia,Lilburn,"Harbins Rd and Harbins Point Ln",2,0,0,0,1,N/A
